위치,조항,제목,내용
서울대학교 예과교육위원회 규정,4,위원장 등의 직무,"위원장은 회무를 총괄하고 위원회를 대표하며, 위원장이 부득이한 사유로 직무를 수행할 수 없을 때에는 부위원장이 그 직무를 대리한다."
서울대학교 예과교육위원회 규정,5,회의,위원회의 회의는 위원장이 소집하고 재적위원 과반수의 출석으로 개의    하고 출석위원 과반수의 찬성 으로 의결한다.
서울대학교 예과교육위원회 규정,6,간사,"위원회는 간사 1인을 두되 기초교육원 행정지원팀장이 되며, 간사는 위   원장의 명을 받아 회무를 보조 한다."
서울대학교 예과교육위원회 규정,7,경비,"위원회 운영에 필요한 경비를 예산의 범위에서 지급할 수 있다.    부칙 <제1846호,2011.12.27>"
서울대학교 예과교육위원회 규정,1,시행일,이 규정은 2012년 3월 1일부터 시행한다.
서울대학교 원격수업 등에 관한 운영 지침,1,목적,"이 지침은「고등교육법」제22조, 제23조, 「병역법」제73조, 「디지털 기반의 원격교육 활성화 기본법」, 「고 등교육법 시행령」제14조의2, 「디지털 기반의 원격교육 활성화 기본법 시행령」,「대학등의 원격수업 운영에 관한 훈령」,「서울대학교 학칙」제92조에 따라 원격수업 등의 운영에 필요한 사항을 규정함을 목적으로 한다."
서울대학교 원격수업 등에 관한 운영 지침,2,정의,"①“원격수업”이란 지능정보기술과 정보통신매체를 이용하여 시간적·공간적 제약에 구애받지 아니하고 교수·학습 활동이 이루어지는 수업의 형태를 말하며, 다음 각 호와 같이 구분된다. 1.“동시적 원격수업”이란 지능정보기술과 정보통신매체를 통하여 교수자와 학습자가 같은 시간 비대면으로 진행 하는 수업을 말한다.  2.“비동시적 원격수업”이란 교수자가 지능정보기술과 정보통신매체를 활용하여 제작한 강의 콘텐츠를 본교 이러 닝시스템(이하 “eTL”이라 한다) 등의 학습관리시스템에 탑재하면 학습자가 지정된 기간 내 이를 학습하는 수업  을 말한다.  3.“재난대응 원격수업”이란 「재난 및 안전관리 기본법」상의 자연재난 또는 사회재난으로 인하여 대면수업을 진 행할 수 없을 경우 총장의 결정에 따라 학기의 전부 또는 일부 기간 동안 시행하는 원격수업을 말한다.  4.“군복무 학점인정 원격수업”이란 입영 또는 복무로 인하여 휴학 중인 학생이 수강하는 원격수업을 말한다. ②“원격수업 교과목”이란 중간시험 및 기말시험 등의 평가활동을 제외한 교수·학습활동의 70% 이상이 원격수업 형태로 이루어지는 교과목을 말한다. ③“혼합원격수업 교과목”이란 중간시험 및 기말시험 등의 평가활동을 제외한 교수·학습활동의 30% 이상 70% 미 만이 원격수업 형태로 이루어지는 교과목을 말한다. ④“하이브리드 수업”이란 중간시험 및 기말시험 등의 평가활동을 제외한 교수·학습 활동 전체를 일부 수강생은 대면으로, 동시에 나머지 수강생은 비대면으로 진행하는 수업을 말하며, 제1항에 따른 원격수업에 해당되지 아니 한다."
서울대학교 원격수업 등에 관한 운영 지침,3,원격수업의 운영 원칙,"① 원격수업은 동시간 온라인 강의, 동영상 강의와 질의응답, 온라인 토론 등의 수업 관 련 활동을 포함하여 구성한다. ② 원격수업의 학점 당 수업 시간은 50분 이상으로 한다. ③ 비동시적 원격수업의 경우 중간시험 및 기말시험 등의 평가활동이 실시되는 주를 제외하고 교수자 또는 조교 와 수강생 간 질의응답을 포함하여 1학점당 주당 평균 10분 이상에 상응하는 동시적 상호작용을 별도로 포함해 야 한다. 단, 군복무 학점인정 원격수업의 경우 비동시적으로 상호작용을 진행할 수 있다. ④ 강의 및 학습 활동은 eTL을 통해 진행됨을 원칙으로 하되, 특수한 사정이 있는 경우 제4조에 따른 원격수업관 리위원회의 승인에 의하여 별도의 정보통신매체를 활용할 수 있다. ⑤ 수강생 중 장애학생이 있을 경우 장애학생에 대한 정보접근 지원을 위하여 수업 중 활용하는 영상물에 장애학 생을 위한 화면 해설, 폐쇄자막 또는 수어통역 등 편의를 제공해야 한다."
서울대학교 원격수업 등에 관한 운영 지침,4,원격수업관리위원회,"① 원격수업의 운영을 위하여 원격수업관리위원회(이하“위원회”라 한다)를 둔다. ② 위원회는 교무처장, 교무부처장, 교육부처장, 기초교육원 교수학습부원장을 포함한 15명 이내의 위원으로 구 성하되 학생 위원은 전체 위원 정수(定數)의 10분의 3 이상이 되어야 한다. ③ 위원회의 위원장은 교무처장이 되며, 부위원장은 교무부처장이 된다.법제처                                                            2                                                       국가법령정보센터  서울대학교 원격수업 등에 관한 운영 지침  ④ 교원 위원 및 학생 위원은 총장이 임명하며, 교원 위원의 임기는 2년, 학생 위원의 임기는 1년으로 한다. ⑤ 위원회는 다음 각 호의 사항을 심의한다. 1. 원격수업 운영 계획에 관한 사항 2. 원격수업 교과목 선정 및 개발·운영에 관한 사항 3. 원격수업 운영의 발전방안 모색과 정책 수립에 관한 사항 4. 군복무 학점인정 원격수업 교과목 운영에 관한 사항 5. 원격수업 교과목의 품질 향상을 위한 지원 및 관리에 관한 사항 6. 그 밖에 원격수업 운영에 필요한 사항 ⑥ 제5항에 따른 직무를 원활하게 수행하기 위하여 소위원회를 둘 수 있다. ⑦ 기초교육원 온라인교육부 소속 직원은 위원회에 배석할 수 있다."
서울대학교 원격수업 등에 관한 운영 지침,5,기초교육원 온라인교육부,"기초교육원 온라인교육부는 원격수업 콘텐츠 제작 지원, eTL 운영 지원, 원격수업 담당 교직원 역량 강화 등 원격교육지원과 관련된 업무를 담당한다."
서울대학교 원격수업 등에 관한 운영 지침,6,교과목 개설 신청 및 선정,"① 다음 각 호의 어느 하나에 해당하는 경우 원격수업 교과목으로 개설 신청할 수 있다. 1. 원격수업이 대면 수업 이상의 교육적 효과가 있다고 판단되는 경우 2. 다수의 수강생 또는 교수자가 대면 수업에 참여하기 어려운 경우 3. 정원 200명 이상의 강의 4. 「교과과정 편성 및 운영에 관한 지침」제9조제1항에 따른 대학원 공통교과목 ② 원격수업 교과목은 담당교원이 기 편성된 교과목 중 별지 서식에 따라 대학(원), 기초교육원 등 개설기관에 신 청서를 제출하며, 개설기관은 관련 위원회 회의록을 첨부하여 총장에게 원격수업 교과목 개설을 신청한다. ③ 제2항에 따라 개설 신청된 교과목은 위원회의 심의를 거쳐 원격수업 교과목으로 선정된다. ④ 혼합원격수업 교과목을 개설하고자 하는 경우 개설기관장의 승인을 얻은 후 총장에게 신고하여야 한다."
서울대학교 원격수업 등에 관한 운영 지침,7,교과목 운영,"① 원격수업 교과목의 이수 단위는 학점으로 하고 1학기 동안 15시간의 강의를 하는 경우 1학점 으로 인정한다. ② 원격수업 교과목의 강의계획서 입력, 수강신청, 폐강, 성적 평가 등은 일반 교과목의 개설 및 운영 기준을 동일 하게 적용한다. ③ 원격수업 교과목의 강의 평가는 수업일수 2분의 1 이내, 종강 후 총 2회 실시하고, 그 결과를 학생에게 공개하 여야 한다. ④ 군복무 학점인정 원격수업 교과목의 동영상 강의는 제작 후 3년 경과 시 개설기관의 사전 심의를 거쳐 위원회 의 결정에 따라 수정 또는 폐기한다. 그 밖의 원격수업 교과목 동영상 강의의 경우 제작 후 3년 경과 시 담당교원 이 수정하는 것을 원칙으로 한다. ⑤ 원격수업 교과목의 운영 및 강의 콘텐츠 관리는 담당 교원이 한다."
서울대학교 원격수업 등에 관한 운영 지침,8,교과목 수강 등,"① 수강 학생의 평가는 대면 시험을 원칙으로 한다. 다만, 평가가 비대면으로 공정하게 진행될 수 있는 조건이 구비된 경우 온라인 평가를 실시할 수 있다. ② 원격수업 교과목에서 제시하는 각 차시 활동에 90% 이상을 참여하였을 경우 해당 차시를 이수한 것으로 인정 한다. ③ 원격수업 교과목 수업의 4분의 3이상을 출석하지 않은 경우 성적은“F”또는“U”가 된다. 다만, 불가피한 사유로 출석하지 못한 경우는 예외로 할 수 있다."
서울대학교 원격수업 등에 관한 운영 지침,9,군복무 학점인정 원격수업,"① 본교 학사과정 재학생 중 「병역법」에 따른 군휴학생은 제6조에 따라 군복무 학 점인정 원격수업 교과목으로 개설한 교과목를 수강할 수 있다. 다만, 전역 또는 소집해제일이 수업일수 4분의 1 이전에 해당하는 경우에는 수강할 수 없다.법제처                                                            3                                                       국가법령정보센터  서울대학교 원격수업 등에 관한 운영 지침  ② 군휴학생은 학기당 6학점까지 원격수업 교과목을 수강할 수 있으며, 복무기간 중 최대 12학점까지 학점을 취 득할 수 있다. ③ 입영 또는 복무기간 중 이수한 원격수업 교과목은 복학 후 재수강할 수 있다. 다만, 군휴학 전 이미 학점을 취 득한 교과목은 입영 또는 복무기간 중 원격수업 교과목으로 재수강할 수 없다. ④ 군복무 학점인정 원격수업 교과목을 수강하는 경우 해당 연도 계절수업 학점 당 수강료 기준으로 수강료를 납 부하여야 한다. ⑤ 군복무 학점인정 원격수업 교과목의 평가는 대면 시험을 원칙으로 하나, 온라인 평가를 실시할 수 있다. 온라 인 평가는 eTL 내에서 실시한다. ⑥ 이수한 교과목의 성적은 취득한 성적 그대로 학적부에 등재하되, ‘군복무 학점인정 원격수업’임을 표시하고 평 점평균 산출 시에는 산입하지 아니한다. ⑦ 군복무 학점인정 원격수업 교과목을 수강하는 도중 전역 또는 소집해제 하는 경우, 남은 강좌를 모두 이수하 면 취득학점으로 인정한다. ⑧ 군휴학생은 복학한 학기의 종강일 이전까지 소속 학과(부)장과 대학(원)장을 경유하여 총장에게 군휴학 중 취 득한 학점의 학점인정을 신청하여야 한다."
서울대학교 원격수업 등에 관한 운영 지침,10,저작권 등,"① 이 지침에 따라 제작된 강의 콘텐츠의 저작권은 창작한 교원에게 있으며, 본교는 교육과 연구 등의 목적을 위해 무상으로 사용할 수 있다. ② 제1항 이외의 강의 콘텐츠 제작 및 활용 등에 관한 사항은 「저작권법」, 「서울대학교 지식재산권 관리 규정」 등 관계 법령 및 규정을 따른다."
서울대학교 원격수업 등에 관한 운영 지침,11,교과목 운영 지원,"① 개설 기관은 원격수업 교과목 운영을 위해 수업 지원 조교를 배정할 수 있다. ② 원격수업 교과목을 외국어로 진행하는 경우 외국어진행강의 강의개발비 등을 지원할 수 있다. ③ 원격수업 교과목의 동영상 강의 제작 지원, eTL 운영 지원은 기초교육원 온라인교육부에서 담당한다."
서울대학교 원격수업 등에 관한 운영 지침,12,개인정보 등의 보호,"① 원격수업의 운영 과정에서 교원 및 학생의 개인정보를 보호하기 위하여 목적에 필요 한 범위에서 최소한의 개인정보만을 수집하고, 처리하며, 목적 외의 용도로 활용하지 않아야 한다. ② 그 밖에 이 지침에서 정하지 않은 개인정보 등의 보호에 관한 사항은 「서울대학교 개인정보 처리 및 보호에 관한 규정」을 따른다."
서울대학교 원격수업 등에 관한 운영 지침,13,준용,"이 지침에서 정하지 않은 원격수업 교과목 및 혼합원격수업 교과목의 운영에 관한 내용은 전공교과목 은 「교과목개설 및 수업편성지침」, 교양교과목은 「교양교과과정 편성 및 운영지침」을 따른다."
서울대학교 원격수업 등에 관한 운영 지침,14,재난대응 원격수업,"총장은 제6조, 제7조제3항 및 제4항, 제8조제1항 및 제2항에도 불구하고, 재난대응 원격 수업을 실시하는 경우 원격수업 교과목 개설, 교과목 운영, 교과목 수강 등에 관한 사항을 따로 정할 수 있다.    부칙 <제1호,2020.7.27>"
서울대학교 원격수업 등에 관한 운영 지침,1,시행일,이 지침은 2020학년도 2학기부터 적용한다.
서울대학교 원격수업 등에 관한 운영 지침,2,관련 지침의 폐지,본 지침 시행으로 「서울대학교 군휴학 중 원격수업 학점이수제도 운영 지침」은 폐지한다.
서울대학교 학사위원회 규정,1,목적,이 규정은 「국립대학법인 서울대학교 정관」 제22조제4항에 따라 학사위원회의 구성과 운영에 관한 사 항을 정함을 목적으로 한다.
서울대학교 학사위원회 규정,2,기능,"① 학사위원회(이하 “위원회”라 한다)는 교육과 연구에 관한 다음 각 호의 사항을 심의한다. 1. 연도별 대학운영계획 중 교육·연구와 관련된 사항 2. 학생의 입학, 졸업에 관한 사항 3. 교육과정, 성적, 학위 등 학사관리에 관한 사항 4. 학생지도에 관한 사항 5. 교원 인사에 관한 사항 6. 교수평가에 관한 사항 7. 연구비 관리 등 연구활동 지원에 관한 사항 8. 연구윤리, 연구감사, 대외 연구협력에 관한 사항 9. 대학·대학원 및 학부·학과의 설치와 폐지에 관한 사항 10. 교육기본시설, 지원시설, 연구시설, 부속시설의 설치와 폐지에 관한 사항 11. 학칙, 학사위원회 규정, 그 밖의 교육·연구에 관한 중요 규정의 제정, 개정 및 폐지에 관한 사항 12. 그 밖에 총장 또는 이사회가 교육·연구와 관련하여 심의를 요구하는 사항 ② 제1항에도 불구하고, 필요한 경우 세부운영에 관한 사항은 위원회의 의결을 거쳐 관련된 다른 위원회에 위임 할 수 있다."
서울대학교 학사위원회 규정,3,구성,"① 위원회는 총장과 25명 이상 35명 이하의 서울대학교 교원으로 구성하되, 부총장, 학(원)장, 자유전공 학부장, 첨단융합학부장, 기초교육원장, 교무처장, 학생처장, 연구처장, 기획처장 및 입학본부장과 총장이 임명하 는 교육과 연구에 풍부한 경험과 전문성을 가진 교원을 포함한다. ② 위원회에 위원장과 부위원장 각 1명을 두며, 위원장은 총장이 겸임하고 부위원장은 총장이 부총장 중에서 지 명한다."
서울대학교 학사위원회 규정,4,임기,"총장이 임명하는 위원의 임기는 2년으로 하며, 연임할 수 있다."
서울대학교 학사위원회 규정,5,위원장 등의 직무,"① 위원장은 회무를 통할하고 위원회를 대표한다. ② 부위원장은 위원장을 보좌하며, 위원장이 부득이한 사유로 직무를 수행할 수 없을 때에는 그 직무를 대행한다 ."
서울대학교 학사위원회 규정,6,회의,"① 위원장은 회의를 소집하고 그 의장이 된다. ② 위원회의 회의는 재적위원 과반수의 출석으로 개의하고, 출석위원 과반수의 찬성으로 의결한다. ③ 위원장은 위원회의 심의사항 중 긴급하거나 경미한 사항에 대해서는 서면 결의에 부의할 수 있고 이 경우 차 기 위원회에 그 결과를 보고하여야 한다. ④ 위원장은 필요한 경우 대학 내 행정조직, 지원·부속 시설 및 그 밖의 기관의 책임자를 위원회에 배석시킬 수 있다.  법제처                                                            2                                                       국가법령정보센터  서울대학교 학사위원회 규정"
서울대학교 학사위원회 규정,7,소위원회,① 위원회의 효율적인 운영을 위하여 필요한 경우 소위원회를 둘 수 있다. ② 소위원회의 설치 및 운영에 관하여 필요한 사항은 위원회의 심의를 거쳐 위원장이 정한다.
서울대학교 학사위원회 규정,8,심의결과의 처리,총장은 위원회의 심의 결과 중 이사회의 의결이 필요한 사항 또는 중요하다고 판단하는 사 항을 이사회에 회부하여야 한다.
서울대학교 학사위원회 규정,9,간사,"① 위원회의 사무처리와 운영을 보조하기 위하여 간사 2명을 둔다. ② 간사는 교무과장과 연구진흥과장이 되며, 교무과장이 주관한다."
서울대학교 학사위원회 규정,10,회의록의 작성,"위원회는 회의의 일시, 장소, 발언 요지, 결정 사항 등이 기록된 회의록을 작성·보존하여야 한 다."
서울대학교 학사위원회 규정,11,경비 등 지원,① 위원회에 참석하는 위원 또는 관계 전문가에게는 예산의 범위에서 필요한 경비를 지원할 수 있다.  ② 총장은 위원회의 원활한 운영을 위하여 필요한 사항을 지원할 수 있다.
서울대학교 대학입학전형공정관리위원회 규정,1,목적,이 규정은 「서울대학교 학칙」 제60조제3항에 따라 대학입학전형(편입학 포함)의 공정한 관리를 위하여 서울대학교 대학입학전형공정관리위원회(이하 “위원회”라 한다)의 구성과 운영 등에 관한 사항을 정함을 목적으 로 한다.
서울대학교 대학입학전형공정관리위원회 규정,2,기능,위원회는 다음 각 호의 기능을 수행한다. 1. 대학입학전형 부정 방지 대책에 관한 사항 심의 2. 대학입학전형 평가 절차의 공정성 관리 및 심의 3. 대학입학전형의 공정한 운영에 관한 자체감사 및 심의 4. 그 밖에 대학입학전형 공정관리 관련 내용 심의
서울대학교 대학입학전형공정관리위원회 규정,3,구성,"① 위원회는 위원장을 포함하여 7명 이내의 위원으로 구성한다. ② 위원장을 포함한 위원은 서울대학교 전임교원 및 외부 인사로 구성하여 총장이 임명·위촉하되, 외부 인사가 2명 이상 포함되어야 한다. ③ 위원장의 요청에 따라 부위원장을 둘 수 있다."
서울대학교 대학입학전형공정관리위원회 규정,4,임기,"위원장 및 위원의 임기는 1년으로 하되, 연임할 수 있다."
서울대학교 대학입학전형공정관리위원회 규정,5,위원장 등의 직무,"① 위원장은 위원회를 대표하며, 위원회의 업무를 총괄한다. ② 부위원장은 위원장을 보좌하며, 위원장이 부득이한 사유로 직무를 수행할 수 없을 때 그 직무를 대행한다."
서울대학교 대학입학전형공정관리위원회 규정,6,회의,"① 위원장은 위원회의 회의를 소집하고, 그 의장이 된다. ② 위원회의 회의는 재적위원 과반수의 출석으로 개회하고, 출석위원 과반수의 찬성으로 의결한다."
서울대학교 대학입학전형공정관리위원회 규정,7,경비지원,위원회에 참석하는 위원 또는 관계 전문가에게 예산의 범위에서 필요한 경비를 지원할 수 있다.
서울대학교 대학입학전형공정관리위원회 규정,8,간사,위원회의 사무를 처리하고 운영을 보조하기 위하여 간사를 둘 수 있다.
서울대학교 대학입학전형공정관리위원회 규정,9,운영세칙,"이 규정에서 정하지 않은 사항은 위원회의 의결을 거쳐 별도의 세칙으로 정할 수 있다.     부칙 <제2174호,2019.7.30>"
서울대학교 대학입학전형공정관리위원회 규정,1,시행일,이 규정은 공포한 날부터 시행한다.
서울대학교 대학입학전형운영위원회 운영 지침,1,목적,이 지침은 「서울대학교 학칙」 제60조제4항에 따라 대학입학전형의 운영에 관한 사항을 정함을 목적으 로 한다.
서울대학교 대학입학전형운영위원회 운영 지침,2,기능,위원회는 다음 각 호의 사항을 심의한다. 1. 대학입학전형 지원자 평가에 관한 사항 2. 대학입학전형 공정성 확보에 관한 사항 3. 대학입학전형 관련 위반사항 처리에 관한 사항 4. 그 밖에 대학입학전형 운영에 관한 제반 사항
서울대학교 대학입학전형운영위원회 운영 지침,3,구성,"① 위원회는 위원장을 포함하여 9명 이내의 위원으로 구성한다. ② 위원은 입학본부장, 입학부본부장, 입학관리과장, 전형운영팀장을 당연직으로 하며, 입학본부 직원 중에서 입 학본부장이 위촉한다. ③ 위원장은 입학본부장, 부위원장은 입학부본부장이 된다."
서울대학교 대학입학전형운영위원회 운영 지침,4,임기,"임명직 위원의 임기는 1년으로 하되, 연임할 수 있다."
서울대학교 대학입학전형운영위원회 운영 지침,5,위원장 등의 직무,"① 위원장은 위원회를 대표하며, 위원회의 업무를 총괄한다. ② 부위원장은 위원장을 보좌하며, 위원장이 부득이한 사유로 직무를 수행할 수 없을 때 그 직무를 대행한다."
서울대학교 대학입학전형운영위원회 운영 지침,6,회의,"① 위원회의 회의는 위원장이 필요하다고 인정하거나, 재적위원 과반수의 요구가 있을 때 위원장이 소 집한다. ② 위원회의 회의는 재적위원 과반수의 출석으로 개회하고, 출석위원 과반수의 찬성으로 의결한다."
서울대학교 대학입학전형운영위원회 운영 지침,7,소위원회,위원회는 필요한 경우 별도의 소위원회를 둘 수 있다.
서울대학교 대학입학전형운영위원회 운영 지침,8,간사,"위원회의 사무를 처리하고 운영을 보조하기 위하여 간사를 두며, 간사는 전형운영팀장이 된다."
서울대학교 대학입학전형운영위원회 운영 지침,9,세부지침,"이 지침에서 정하지 않은 사항은 위원회의 의결을 거쳐 별도의 세부지침으로 정할 수 있다.    부칙 <제1호,2019.5.15>"
서울대학교 대학입학전형운영위원회 운영 지침,1,시행일,이 지침은 공포한 날부터 시행한다.
서울대학교 입학고사관리위원회 규정,1,목적,이 규정은 「서울대학교 학칙」 제60조제3항에 따라 입학고사관리위원회(이하 “위원회”라 한다)의 구성과 운영 등에 관한 사항을 정함을 목적으로 한다.
서울대학교 입학고사관리위원회 규정,2,기능,위원회는 다음 각 호의 사항을 심의한다. 1. 전형별 모집안내 및 사정원칙 2. 전형별 합격자 사정 3. 그 밖에 학생 선발에 관한 사항
서울대학교 입학고사관리위원회 규정,3,구성,"① 위원회에 위원장과 부위원장 각 1명을 두며, 위원장은 입학본부장, 부위원장은 입학본부 부본부장이 된다. ② 위원회는 교무부처장, 각 대학(원) 교무부학(원)장(부학(원)장이 1명인 대학(원)은 부학(원)장), 자유전공학부 교 무부학부장, 첨단융합학부 교무부학부장 및 입학관리과장으로 구성한다."
서울대학교 입학고사관리위원회 규정,4,위원장 등의 직무,"① 위원장은 위원회를 대표하며, 위원회의 업무를 총괄한다. ② 부위원장은 위원장을 보좌하며, 위원장이 부득이한 사유로 직무를 수행할 수 없을 때 그 직무를 대행한다."
서울대학교 입학고사관리위원회 규정,5,회의,"① 위원장은 위원회의 회의를 소집하고, 그 의장이 된다. ② 위원회의 회의는 재적위원 과반수의 출석으로 개의하고, 출석위원 과반수의 찬성으로 의결한다."
서울대학교 입학고사관리위원회 규정,6,보고,위원장은 위원회에서 의결된 주요사항을 총장에게 보고하여야 한다.
서울대학교 입학고사관리위원회 규정,7,간사,"위원회의 사무를 처리하고 운영을 보조하기 위하여 간사를 두며, 간사는 입학관리과 행정관이 된다."
서울대학교 입학전형영향평가위원회 운영 지침,1,목적,이 지침은 「서울대학교 학칙」 제60조제4항에 따라 서울대학교 입학전형의 선행학습 영향평가에 대한 방법과 절차에 관한 사항을 정함을 목적으로 한다.
서울대학교 입학전형영향평가위원회 운영 지침,2,영향평가 대상,"이 지침에 따른 영향평가는 대학별고사(면접 및 구술고사, 논술고사, 교직적성·인성검사 등)를 대상으로 하며, 예체능계의 실기평가는 제외한다."
서울대학교 입학전형영향평가위원회 운영 지침,3,기능,"위원회는 다음 각 호의 사항을 심의한다. 1. 선행학습 영향평가의 범위, 방법, 절차에 관한 사항 2. 선행학습 영향평가의 내용에 관한 사항 3. 선행학습 영향평가 결과의 반영에 관한 사항 4. 그 밖에 필요한 사항"
서울대학교 입학전형영향평가위원회 운영 지침,4,구성,"위원회는 입학본부장을 위원장으로 하고, 입학부본부장, 교무부처장을 당연직으로 하여 10명 이내로 구 성하되, 고교 교육과정 전문가, 현직 고교교사, 학부모 등의 외부인사가 3명 이상 포함되어야 한다."
서울대학교 입학전형영향평가위원회 운영 지침,5,임기,"임명직 위원의 임기는 1년으로 하되, 연임할 수 있다."
서울대학교 입학전형영향평가위원회 운영 지침,6,회의,"① 위원장은 위원회의 회의를 소집하고, 그 의장이 된다. ② 위원회의 회의는 재적위원 과반수의 출석으로 개회하고, 출석위원 과반수의 찬성으로 의결한다."
서울대학교 입학전형영향평가위원회 운영 지침,7,실무위원,"① 위원회는 영향평가 실무를 담당할 실무위원을 둘 수 있다. ② 실무위원은 전임입학사정관으로 구성하며, 고교 교사도 참여할 수 있다. ③ 실무위원은 제2조에 해당하는 전형의 영향평가를 수행하고, 그 결과를 위원회에 보고한다."
서울대학교 입학전형영향평가위원회 운영 지침,8,영향평가 시기,영향평가는 수시 대학별 고사가 종료되는 시점에서 다음 해 3월말까지 수행한다.
서울대학교 입학전형영향평가위원회 운영 지침,9,영향평가 절차,영향평가는 다음과 같은 절차로 진행한다. ① 영향평가 계획 수립 ② 영향평가 수행 및 자료 작성 ③ 입학전형영향평가위원회의 영향평가 자료 심의 ④ 다음 해 대입전형에 반영여부 심의 ⑤ 영향평가 결과 관련기관 통보 및 홈페이지 공지
서울대학교 입학전형영향평가위원회 운영 지침,10,영향평가 방법,① 영향평가는 교육부가 제작한 영향평가 매뉴얼에 따라 진행한다.  ② 매뉴얼에 없는 사항은 위원회의 결정에 따른다.
서울대학교 입학전형영향평가위원회 운영 지침,11,경비지원,위원회에 참석하는 위원 또는 관계 전문가에게 예산의 범위에서 필요한 경비를 지원할 수 있다.
서울대학교 입학전형영향평가위원회 운영 지침,12,영향평가 결과 및 반영계획 공지,영향평가 결과 및 다음 해 입학전형의 반영 계획은 매년 3월 31일까지 입 학본부 홈페이지에 공지한다.
서울대학교 입학전형영향평가위원회 운영 지침,13,보고,위원장은 영향평가 결과를 입학고사관리위원회에 보고한다.법제처                                                            2                                                       국가법령정보센터  서울대학교 입학전형영향평가위원회 운영 지침
교과과정 편성 및 운영에 관한 지침,1,목적,이 지침의 제정 목적은 학칙 제9조제3항의 위임에 따른 교과과정의 편성 및 운영 기준과 절차 등의 세부 사항을 정함에 있다.
교과과정 편성 및 운영에 관한 지침,2,정의,이 지침에서 사용하는 용어의 뜻은 별표 1과 같다.
교과과정 편성 및 운영에 관한 지침,3,교과과정의 편성 기준,"교과과정의 편성은 다음 각 호의 기준을 충족하여야 한다.  1. 서울대학교의 위상과 교육목표에 부합 2. 대학(원), 학과(부) 등 교육기구별 특성 및 해당 학문영역 발전에 부응 3. 각 학문분야의 학제적 교육·연구 활동의 제고 4. 학사·석사·박사 등 각 학위과정의 체계적 이수"
교과과정 편성 및 운영에 관한 지침,4,교과목의 편성 및 운영,"교과목의 편성 및 운영은 대학(원), 학과(부)·전공 등 해당 교육기구가 주관하는 것을 원칙으로 하되, 제9조제1항의 공통교과목으로 편성된 교과목은 기초교육원에서 주관한다. 이는 학사운영위원회의 심의를 거쳐 총장의 승인을 받아야 한다."
교과과정 편성 및 운영에 관한 지침,5,교과과정의 심의,"① 교과과정 편성 및 운영에 관한 다음 각 호의 사항은 학사운영위원회에서 심의한다. 1. 교과과정상 전공의 신설·변경·분리·폐지 2. 전공 교과목의 신설·변경·폐지 3. 전공 교과목 이수규정 및 경과조치에 관한 사항 4. 전공 교과목 이수표준형태에 관한 사항 5. 기타 교과과정의 편성 및 운영에 관련된 사항 ② 다만, 다음 각 호의 사항은 교무처장이 직권으로 처리한 후, 차기 학사운영위원회에 보고한다. 1. 학점구조의 변경 2. 개설학기 또는 개설학년의 변경 3. 2군 교과목 지정 또는 해제 4. 교과목 전필 해제 5. 교육조직의 변경에 따른 교과목 소관의 변경 등 ③ 제1항의 규정에도 불구하고 교양과정 교과과정 편성 및 운영에 관한 사항은 기초교육       위원회에서 관장  한다."
교과과정 편성 및 운영에 관한 지침,6,교과과정 개편 시기 및 절차,"① 교과과정은 매 학기 2회로 개편하는 것을 원칙으로 한다. ② 각 대학(원) 등에서 교과과정을 개편하고자 할 때에는 직전 학기 개시 후 1개월 이내에 1차 교과과정 개편안 을 제출하고, 1차를 제출한 시점부터 2개월 이내에 1회에 한하여 추가 제출을 하도록 한다. ③ 제1항 및 제2항의 규정에도 불구하고 교육기구 개편, 교과목 담당교수의 신규임용 등 불가피한 사유가 있을 경우에는 정규 개편 시기 이외에도 교과과정 개편안을 제출할 수 있다. 다만, 이 경우에는 불가피한 사유를 입증 할 수 있는 객관적이고 구체적인 자료를 함께 제출하여야 한다. ④ 제출된 교과과정 개편안은 각 대학(원) 등 관련 기관의 의견 수렴 및 이견 조정의 절차를 거쳐 학사운영위원회 에서 심의한다.법제처                                                            2                                                       국가법령정보센터  교과과정 편성 및 운영에 관한 지침  ⑤ 교과과정 개편은 최소한 학사일정 상 해당 학년도 교과목 개설 신청 및 수강편람 발간 일정 이전에 완료되도 록 하여야 한다."
교과과정 편성 및 운영에 관한 지침,7,개설 주기,"교과목은 최소 2년에 1회 이상 개설되도록 편성하여야 하며, 이수표준형태에 개설주기를 표시한다 . 다만, 교과목 담당교수가 연구년을 활용하거나 보직을 겸임하는 등 정당한 사유가 있는 경우에는 교과목 개설을 2년까지 유예할 수 있다."
교과과정 편성 및 운영에 관한 지침,8,교과과정상 전공,① 학과(부)의 학문영역이 세부의 전공으로 나누어 편성·운영해야 할 필요가 있다고 인정되 는 경우에는 교과과정상 전공을 신설하거나 분리할 수 있다.  ② 학과(부)가 이미 학칙상 전공으로 분리되어 있는 경우에는 별도로 교과과정상 전공을 설치할 수 없다. ③ 제1항의 교과과정상 전공은 별표 3과 같다.
